year,justice,baseline_side,baseline
1955,j__earl_warren,1.0,0.6043956043956044
1955,j__felix_frankfurter,0.0,0.5053763440860215
1955,j__harold_burton,0.0,0.5483870967741935
1955,j__hugo_l_black,1.0,0.6344086021505376
1955,j__john_m_harlan2,0.0,0.52
1955,j__sherman_minton,0.0,0.532608695652174
1955,j__stanley_r,0.0,0.532608695652174
1955,j__tom_c_clark,1.0,0.5384615384615384
1955,j__william_j_brennan_jr,0.0,1.0
1955,j__william_o_dougla,1.0,0.6774193548387096
1956,j__charles_e_whittaker,1.0,0.5384615384615384
1956,j__earl_warren,1.0,0.6785714285714286
1956,j__felix_frankfurter,1.0,0.5304347826086957
1956,j__harold_burton,0.0,0.5263157894736842
1956,j__hugo_l_black,1.0,0.6728971962616822
1956,j__john_m_harlan2,1.0,0.5267857142857143
1956,j__sherman_minton,0.0,1.0
1956,j__stanley_r,0.0,0.5853658536585366
1956,j__tom_c_clark,1.0,0.509090909090909
1956,j__william_j_brennan_jr,1.0,0.6636363636363637
1956,j__william_o_dougla,1.0,0.6842105263157895
1957,j__charles_e_whittaker,1.0,0.5166666666666667
1957,j__earl_warren,1.0,0.6949152542372882
1957,j__felix_frankfurter,1.0,0.5042016806722689
1957,j__harold_burton,1.0,0.49586776859504134
1957,j__hugo_l_black,1.0,0.6722689075630253
1957,j__john_m_harlan2,0.0,0.49586776859504134
1957,j__tom_c_clark,0.0,0.5378151260504201
1957,j__william_j_brennan_jr,1.0,0.6974789915966386
1957,j__william_o_dougla,1.0,0.7107438016528925
1958,j__charles_e_whittaker,1.0,0.5258620689655172
1958,j__earl_warren,1.0,0.6017699115044248
1958,j__felix_frankfurter,1.0,0.5229357798165137
1958,j__hugo_l_black,1.0,0.6403508771929824
1958,j__john_m_harlan2,1.0,0.5221238938053098
1958,j__potter_stewar,1.0,0.5462962962962963
1958,j__tom_c_clark,1.0,0.5132743362831859
1958,j__william_j_brennan_jr,1.0,0.646551724137931
1958,j__william_o_dougla,1.0,0.6260869565217392
1959,j__charles_e_whittaker,0.0,0.5086206896551724
1959,j__earl_warren,1.0,0.6347826086956522
1959,j__felix_frankfurter,1.0,0.5086206896551724
1959,j__hugo_l_black,1.0,0.5892857142857143
1959,j__john_m_harlan2,1.0,0.5652173913043478
1959,j__potter_stewar,1.0,0.5877192982456141
