,nb_cases,baseline
win_side,1404,0.6552706552706553
votes_side_j__anthony_m_kennedy,1276,0.658307210031348
votes_side_j__antonin_scalia,1096,0.6268248175182481
votes_side_j__brett_m_kavanaugh,117,0.6153846153846154
votes_side_j__clarence_thomas,1401,0.5810135617416131
votes_side_j__david_h_souter,669,0.600896860986547
votes_side_j__elena_kagan,615,0.5967479674796748
votes_side_j__john_g_roberts_jr,1015,0.645320197044335
votes_side_j__john_paul_stevens,745,0.5691275167785235
votes_side_j__neil_gorsuch,199,0.5979899497487438
votes_side_j__ruth_bader_ginsburg,1404,0.5783475783475783
votes_side_j__samuel_a_alito_jr,981,0.5942915392456677
votes_side_j__sandra_day_oconnor,390,0.6974358974358974
votes_side_j__sonia_sotomayor,720,0.5819444444444445
votes_side_j__stephen_g_breyer,1390,0.6201438848920864
votes_side_j__william_h_rehnquist,367,0.662125340599455
