year,baseline_side,baseline
1955,1,0.5161290322580645
1956,1,0.6260869565217392
1957,1,0.6033057851239669
1958,1,0.5948275862068966
1959,1,0.5775862068965517
1960,1,0.5581395348837209
1961,1,0.7058823529411765
1993,1,0.5061728395061729
1994,1,0.6375
1995,1,0.5657894736842105
1996,1,0.6419753086419753
1997,1,0.5376344086021505
1998,1,0.6329113924050633
1999,1,0.5945945945945946
2013,1,0.6818181818181818
2014,1,0.6792452830188679
2015,1,0.5294117647058824
2016,1,0.7580645161290323
2017,1,0.6825396825396826
2018,1,0.5797101449275363
2019,1,0.5964912280701754
