lb_year,ub_year,justice,baseline_side,baseline
1956,1956,j__charles_e_whittaker,1.0,0.5384615384615384
1956,1956,j__earl_warren,1.0,0.6785714285714286
1956,1956,j__felix_frankfurter,1.0,0.5304347826086957
1956,1956,j__harold_burton,0.0,0.5263157894736842
1956,1956,j__hugo_l_black,1.0,0.6728971962616822
1956,1956,j__john_m_harlan2,1.0,0.5267857142857143
1956,1956,j__sherman_minton,0.0,1.0
1956,1956,j__stanley_r,0.0,0.5853658536585366
1956,1956,j__tom_c_clark,1.0,0.509090909090909
1956,1956,j__william_j_brennan_jr,1.0,0.6636363636363637
1956,1956,j__william_o_dougla,1.0,0.6842105263157895
1957,1960,j__charles_e_whittaker,0.0,0.4979166666666667
1957,1960,j__earl_warren,1.0,0.6652631578947369
1957,1960,j__felix_frankfurter,0.0,0.5
1957,1960,j__harold_burton,1.0,0.49586776859504134
1957,1960,j__hugo_l_black,1.0,0.6518987341772152
1957,1960,j__john_m_harlan2,1.0,0.5010526315789474
1957,1960,j__potter_stewar,1.0,0.546242774566474
1957,1960,j__tom_c_clark,0.0,0.4968421052631579
1957,1960,j__william_j_brennan_jr,1.0,0.675
1957,1960,j__william_o_dougla,1.0,0.6854166666666667
1961,1961,j__arthur_j_goldberg,1.0,0.6666666666666666
1961,1961,j__byron_r_wh,1.0,0.7222222222222222
1961,1961,j__charles_e_whittaker,0.0,0.5294117647058824
1961,1961,j__earl_warren,1.0,0.7821782178217822
1961,1961,j__felix_frankfurter,0.0,0.5227272727272727
1961,1961,j__hugo_l_black,1.0,0.7920792079207921
1961,1961,j__john_m_harlan2,0.0,0.504950495049505
1961,1961,j__potter_stewar,1.0,0.6039603960396039
1961,1961,j__tom_c_clark,1.0,0.5588235294117647
1961,1961,j__william_j_brennan_jr,1.0,0.7156862745098039
1961,1961,j__william_o_dougla,1.0,0.7647058823529411
1993,1993,j__anthony_m_kennedy,1.0,0.5679012345679012
1993,1993,j__antonin_scalia,1.0,0.5061728395061729
1993,1993,j__clarence_thoma,1.0,0.5802469135802469
1993,1993,j__david_h_souter,1.0,0.5432098765432098
1993,1993,j__harry_a_blackmun,1.0,0.5949367088607594
1993,1993,j__john_paul_steven,1.0,0.5555555555555556
1993,1993,j__ruth_bader_ginsburg,0.0,0.49382716049382713
1993,1993,j__sandra_day_oconnor,1.0,0.55
1993,1993,j__william_h_rehnqu,0.0,0.5185185185185185
1994,1998,j__anthony_m_kennedy,1.0,0.5990220048899756
1994,1998,j__antonin_scalia,1.0,0.571078431372549
1994,1998,j__clarence_thoma,1.0,0.5416666666666666
1994,1998,j__david_h_souter,1.0,0.5745721271393643
1994,1998,j__john_paul_steven,1.0,0.541871921182266
1994,1998,j__ruth_bader_ginsburg,1.0,0.5686274509803921
1994,1998,j__sandra_day_oconnor,1.0,0.5812807881773399
1994,1998,j__stephen_g_breyer,1.0,0.5891089108910891
1994,1998,j__william_h_rehnqu,1.0,0.5623471882640587
1999,1999,j__anthony_m_kennedy,1.0,0.5540540540540541
1999,1999,j__antonin_scalia,1.0,0.581081081081081
1999,1999,j__clarence_thoma,1.0,0.581081081081081
1999,1999,j__david_h_souter,1.0,0.589041095890411
1999,1999,j__john_paul_steven,1.0,0.5405405405405406
1999,1999,j__ruth_bader_ginsburg,1.0,0.5405405405405406
1999,1999,j__sandra_day_oconnor,1.0,0.581081081081081
1999,1999,j__stephen_g_breyer,1.0,0.6081081081081081
1999,1999,j__william_h_rehnqu,1.0,0.5945945945945946
2013,2013,j__anthony_m_kennedy,1.0,0.6515151515151515
2013,2013,j__antonin_scalia,1.0,0.6515151515151515
2013,2013,j__clarence_thoma,1.0,0.6212121212121212
2013,2013,j__elena_kagan,1.0,0.671875
2013,2013,j__john_g_roberts_jr,1.0,0.6515151515151515
2013,2013,j__ruth_bader_ginsburg,1.0,0.6666666666666666
2013,2013,j__samuel_a_alito_jr,1.0,0.6615384615384615
2013,2013,j__sonia_sotomayor,1.0,0.6307692307692307
2013,2013,j__stephen_g_breyer,1.0,0.6153846153846154
2014,2018,j__anthony_m_kennedy,1.0,0.6422764227642277
2014,2018,j__antonin_scalia,1.0,0.6515151515151515
2014,2018,j__brett_m_kavanaugh,1.0,0.6557377049180327
2014,2018,j__clarence_thoma,1.0,0.526984126984127
2014,2018,j__elena_kagan,1.0,0.6
2014,2018,j__john_g_roberts_jr,1.0,0.6624203821656051
2014,2018,j__neil_gorsuch,1.0,0.6197183098591549
2014,2018,j__ruth_bader_ginsburg,1.0,0.5682539682539682
2014,2018,j__samuel_a_alito_jr,1.0,0.5782747603833865
2014,2018,j__sonia_sotomayor,1.0,0.597444089456869
2014,2018,j__stephen_g_breyer,1.0,0.6031746031746031
2019,2019,j__brett_m_kavanaugh,1.0,0.5714285714285714
2019,2019,j__clarence_thoma,1.0,0.49122807017543857
2019,2019,j__elena_kagan,1.0,0.5714285714285714
2019,2019,j__john_g_roberts_jr,1.0,0.5614035087719298
2019,2019,j__neil_gorsuch,1.0,0.543859649122807
2019,2019,j__ruth_bader_ginsburg,1.0,0.631578947368421
2019,2019,j__samuel_a_alito_jr,1.0,0.5087719298245614
2019,2019,j__sonia_sotomayor,1.0,0.5
2019,2019,j__stephen_g_breyer,1.0,0.6666666666666666
