,nb_cases,baseline,test_accuracy,difference,improvement
votes_side_j__sonia_sotomayor,720,0.5819444444444445,0.654205607,0.07226116255555548,True
votes_side_j__samuel_a_alito_jr,981,0.5942915392456677,0.657534247,0.06324270775433227,True
votes_side_j__david_h_souter,669,0.600896860986547,0.64,0.03910313901345297,True
votes_side_j__stephen_g_breyer,1390,0.6201438848920864,0.657004831,0.03686094610791357,True
votes_side_j__clarence_thomas,1401,0.5810135617416131,0.61722488,0.03621131825838686,True
votes_side_j__neil_gorsuch,199,0.5979899497487438,0.633333333,0.0353433832512563,True
votes_side_j__antonin_scalia,1096,0.6268248175182481,0.658536585,0.03171176748175186,True
votes_side_j__anthony_m_kennedy,1276,0.658307210031348,0.689473684,0.03116647396865202,True
win_side,1404,0.6552706552706553,0.680952381,0.025681725729344684,True
votes_side_j__john_g_roberts_jr,1015,0.645320197044335,0.662251656,0.016931458955665057,True
votes_side_j__brett_m_kavanaugh,117,0.6153846153846154,0.611111111,-0.004273504384615379,False
votes_side_j__sandra_day_oconnor,390,0.6974358974358974,0.677966102,-0.01946979543589744,False
votes_side_j__ruth_bader_ginsburg,1404,0.5783475783475783,0.555023923,-0.023323655347578298,False
votes_side_j__elena_kagan,615,0.5967479674796748,0.571428571,-0.02531939647967485,False
votes_side_j__william_h_rehnquist,367,0.662125340599455,0.545454545,-0.11667079559945503,False
votes_side_j__john_paul_stevens,745,0.5691275167785235,0.410714286,-0.15841323077852348,False
