id,year,title,petitioner,respondent,adv_sides_inferred,known_respondent_adv,win_side,is_eq_divided,votes_side_j__abe_fortas,votes_side_j__anthony_m_kennedy,votes_side_j__antonin_scalia,votes_side_j__arthur_j_goldberg,votes_side_j__brett_m_kavanaugh,votes_side_j__byron_r_white,votes_side_j__charles_e_whittaker,votes_side_j__clarence_thomas,votes_side_j__david_h_souter,votes_side_j__earl_warren,votes_side_j__elena_kagan,votes_side_j__felix_frankfurter,votes_side_j__harold_burton,votes_side_j__harry_a_blackmun,votes_side_j__hugo_l_black,votes_side_j__john_g_roberts_jr,votes_side_j__john_m_harlan2,votes_side_j__john_paul_stevens,votes_side_j__lewis_f_powell_jr,votes_side_j__neil_gorsuch,votes_side_j__potter_stewart,votes_side_j__ruth_bader_ginsburg,votes_side_j__samuel_a_alito_jr,votes_side_j__sandra_day_oconnor,votes_side_j__sherman_minton,votes_side_j__sonia_sotomayor,votes_side_j__stanley_reed,votes_side_j__stephen_g_breyer,votes_side_j__thurgood_marshall,votes_side_j__tom_c_clark,votes_side_j__warren_e_burger,votes_side_j__william_h_rehnquist,votes_side_j__william_j_brennan_jr,votes_side_j__william_o_douglas,advocates_1_id,advocates_1_side,advocates_2_id,advocates_2_side,advocates_3_id,advocates_3_side,advocates_4_id,advocates_4_side,advocates_5_id,advocates_5_side,advocates_6_id,advocates_6_side,advocates_7_id,advocates_7_side,advocates_8_id,advocates_8_side,advocates_9_id,advocates_9_side,advocates_10_id,advocates_10_side,advocates_11_id,advocates_11_side,advocates_12_id,advocates_12_side,advocates_13_id,advocates_13_side,advocates_14_id,advocates_14_side,advocates_15_id,advocates_15_side,advocates_16_id,advocates_16_side,advocates_17_id,advocates_17_side,advocates_18_id,advocates_18_side,advocates_19_id,advocates_19_side,advocates_20_id,advocates_20_side,advocates_21_id,advocates_21_side
1955_71,1955,Affronti v. United States,Affronti,United States,True,True,0.0,False,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,harry_f_murphy,1.0,john_v_lindsay,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_410,1955,"American Airlines, Inc. v. North American Airlines, Inc.","American Airlines, Inc.","North American Airlines, Inc.",True,True,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,0.0,,,1.0,,,,0.0,howard_c_westwood,1.0,walter_j_derenberg,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_351,1955,Archawski v. Hanioti,Archawski,Hanioti,True,False,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,harry_d_graham,3.0,israel_convisser,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_38,1955,Armstrong v. Armstrong,Armstrong,Armstrong,True,False,0.0,False,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,robert_n_gorman,3.0,walter_k_sibbald,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_49,1955,"Bernhardt v. Polygraphic Company of America, Inc.",Bernhardt,"Polygraphic Company of America, Inc.",True,False,1.0,False,,,,,,,,,,1.0,,0.0,0.0,,1.0,,0.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,manfred_w_ehrich_jr,3.0,joseph_a_mcnamara,3.0,guy_m_page_jr,3.0,eugene_v_clark,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_60,1955,Berra v. United States,Berra,United States,True,False,0.0,False,,,,,,,,,,0.0,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,1.0,stanley_m_rosenblum,3.0,philip_elman,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_92,1955,Black v. Cutter Laboratories,Black,Cutter Laboratories,True,False,0.0,False,,,,,,,,,,1.0,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,1.0,joseph_forer,1.0,gardiner_johnson,3.0,thomas_e_stanton_jr,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_436,1955,"Cahill v. New York, New Haven & Hartford Railroad Company",Cahill,"New York, New Haven & Hartford Railroad Company",False,False,0.0,False,,,,,,,,,,1.0,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,,0.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_110,1955,Cammer v. United States,Cammer,United States,True,False,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,charles_e_ford,3.0,gray_thoron,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_196,1955,Chessman v. Teets,Chessman,Teets,False,False,1.0,False,,,,,,,,,,,,1.0,0.0,,1.0,,1.0,,,,,,,,1.0,,0.0,,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_76,1955,Cold Metal Process Company v. United Engineering & Foundry Company,Cold Metal Process Company,United Engineering & Foundry Company,True,True,0.0,False,,,,,,,,,,0.0,,1.0,0.0,,0.0,,1.0,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,william_h_webb,1.0,jo_baily_brown,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_442,1955,Cole v. Young,Cole,Young,True,False,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,0.0,,0.0,,,0.0,,,,1.0,david_i_shapiro,3.0,donald_b_macguineas,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_523,1955,"Collins v. American Buslines, Inc.",Collins,"American Buslines, Inc.",True,True,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,john_p_frank,1.0,john_f_franks,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_373,1955,Commissioner of Internal Revenue v. LoBue,Commissioner of Internal Revenue,LoBue,True,True,1.0,False,,,,,,,,,,1.0,,1.0,0.0,,1.0,,0.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,philip_elman,1.0,richard_f_barrett,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_286,1955,Commissioner of Internal Revenue v. Southwest Exploration Company,Commissioner of Internal Revenue,Southwest Exploration Company,True,True,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,0.0,hilbert_p_zarky,1.0,melvin_d_wilson,3.0,harry_r_horrow,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_48,1955,Communist Party of United States v. Subversive Activities Control Bd.,Communist Party of United States,Subversive Activities Control Bd.,True,True,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,0.0,,0.0,,,0.0,,,,1.0,john_j_abt,3.0,joseph_forer,1.0,simon_e_sobeloff,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_20,1955,Corn Products Refining Company v. Commissioner of Internal Revenue,Corn Products Refining Company,Commissioner of Internal Revenue,True,False,0.0,False,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,jay_o_kramer,1.0,samuel_a_mccain,3.0,charles_k_rice,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_72,1955,Costello v. United States,Costello,United States,True,False,0.0,False,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,0.0,morris_shilensky,3.0,osmond_k_fraenkel,1.0,marvin_e_frankel,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_380,1955,Covey v. Town of Somers,Covey,Town of Somers,True,False,1.0,False,,,,,,,,,,1.0,,0.0,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,otto_e_koegel,3.0,john_r_davison,3.0,samuel_m_sprafkin,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_342,1955,Czaplicki v. The Hoegh Silvercloud,Czaplicki,The Hoegh Silvercloud,True,False,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,bernard_chazen,3.0,james_m_estabrook,3.0,arthur_j_phelan,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_529,1955,De Sylva v. Ballentine,De Sylva,Ballentine,True,False,0.0,False,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,max_fink,3.0,theodore_kiendl,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_117,1955,Denver & Rio Grande Western Railroad Company v. Union Pacific Railroad Company,Denver & Rio Grande Western Railroad Company,Union Pacific Railroad Company,True,False,1.0,False,,,,,,,,,,1.0,,0.0,1.0,,1.0,,0.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,frank_e_holman,3.0,elmer_b_collins,3.0,robert_l_simpson,3.0,bert_l_overcash,3.0,robert_w_ginnane,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_233,1955,"Dixie Carriers, Inc. v. United States","Dixie Carriers, Inc.",United States,True,False,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,nuel_d_belnap,3.0,daniel_m_friedman,1.0,samuel_r_howell,3.0,john_a_daily,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_129,1955,Doud v. Hodge,Doud,Hodge,True,True,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,john_j_yowell,1.0,william_c_wines,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_489,1955,Durley v. Mayo,Dan Durley,"Nathan Mayo, Custodian, Florida State Prison",False,True,0.0,False,,,,,,,,,,1.0,,0.0,0.0,,1.0,,0.0,,,,,,,,0.0,,0.0,,,1.0,,,,1.0,neal_p_rutledge,1.0,reeves_bowen,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_162,1955,"East Texas Motor Freight Lines, Inc. v. Frozen Food Express","East Texas Motor Freight Lines, Inc.",Frozen Food Express,True,False,0.0,False,,,,,,,,,,0.0,,1.0,1.0,,0.0,,1.0,,,,,,,,1.0,,0.0,,,0.0,,,,0.0,robert_w_ginnane,1.0,david_g_macdonald,3.0,carl_l_phinney,3.0,charles_h_weston,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_51,1955,Federal Power Commission v. Sierra Pacific Power Company,Federal Power Commission,Sierra Pacific Power Company,True,False,0.0,False,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,f_t_searls,3.0,william_c_chanler,3.0,howard_e_wahrenbrock,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_624,1955,Florida ex Rel. Hawkins v. Board of Control of Florida,Florida ex Rel. Hawkins,Board of Control of Florida,False,False,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955_158,1955,Frozen Food Exp. v. United States,Frozen Food Exp.,United States,False,False,1.0,False,,,,,,,,,,1.0,,1.0,1.0,,1.0,,0.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
